fold_id,model,train_start,train_end,test_start,test_end,params,gross_sharpe,net_sharpe,gross_ann_return,net_ann_return,gross_ann_vol,net_ann_vol,gross_max_drawdown,net_max_drawdown,hit_rate,avg_turnover,total_turnover,break_even_cost_bps,trade_ticks,trade_tick_pct,entry_ticks,entry_tick_pct,exit_ticks,exit_tick_pct,flip_ticks,flip_tick_pct,bars_in_market,market_exposure_pct,avg_abs_position,hold_count,avg_hold_bars,median_hold_bars,max_hold_bars,train_net_sharpe,train_net_ann_return
1,crypto_fast_ema_long_only,2025-11-01 00:01:00+00:00,2025-11-15 00:01:00+00:00,2025-11-15 00:01:00+00:00,2025-11-22 00:01:00+00:00,"short=5,long=20",-7.746484676240426,-7.746484676240426,-4.674062400245289,-4.674062400245289,0.6033785123956037,0.6033785123956037,-0.16475979323238843,-0.16475979323238843,0.2958221692964176,0.05997155238000727,604.3333333333333,-1.4828385180870205,1525.0,0.15133472263570508,1345.0,0.1334722635705071,1344.0,0.13337302768681156,0.0,0.0,6057.0,0.6010717475439119,0.45168866395421914,386.0,15.691709844559586,9.0,144.0,,
2,crypto_fast_ema_long_only,2025-11-08 00:01:00+00:00,2025-11-22 00:01:00+00:00,2025-11-22 00:01:00+00:00,2025-11-29 00:01:00+00:00,"short=5,long=20",1.1728134373778194,1.1728134373778194,0.4571421694158592,0.4571421694158592,0.38978251343874376,0.38978251343874376,-0.04031138628216624,-0.04031138628216624,0.3092249452082088,0.057846848641827715,580.6666666666666,0.15035442835206198,1482.0,0.14763897190675435,1715.0,0.1708507670850767,1708.0,0.1701534170153417,0.0,0.0,6321.0,0.6297071129707112,0.4529786810121538,399.0,15.842105263157896,8.0,104.0,,
3,crypto_fast_ema_long_only,2025-11-15 00:01:00+00:00,2025-11-29 00:01:00+00:00,2025-11-29 00:01:00+00:00,2025-12-06 00:01:00+00:00,"short=5,long=20",0.4815848067868531,0.4815848067868531,0.18649326109548595,0.18649326109548595,0.3872490545118606,0.3872490545118606,-0.05678409754136904,-0.05678409754136904,0.3122620717291124,0.05563347358578774,555.3333333333333,0.06377810481230645,1464.0,0.14666399519134443,1724.0,0.17271087958324985,1725.0,0.1728110599078341,0.0,0.0,6328.0,0.6339410939691444,0.44076003472917924,411.0,15.396593673965937,6.0,191.0,,
4,crypto_fast_ema_long_only,2025-11-22 00:01:00+00:00,2025-12-06 00:01:00+00:00,2025-12-06 00:01:00+00:00,2025-12-13 00:01:00+00:00,"short=5,long=20",-5.03327459773146,-5.03327459773146,-2.045968158059713,-2.045968158059713,0.40648848345803507,0.40648848345803507,-0.08515948448801913,-0.08515948448801913,0.30313276976628545,0.06139565721863087,617.3333333333334,-0.6340242385527436,1605.0,0.1596220785678767,1779.0,0.17692690203878667,1782.0,0.17722526106414718,0.0,0.0,6416.0,0.6380905022376927,0.4379578982264213,480.0,13.366666666666667,5.0,218.0,,
5,crypto_fast_ema_long_only,2025-11-29 00:01:00+00:00,2025-12-13 00:01:00+00:00,2025-12-13 00:01:00+00:00,2025-12-20 00:01:00+00:00,"short=5,long=20",-12.383920111484716,-12.383920111484716,-5.3759178592976715,-5.3759178592976715,0.4341046947090769,0.4341046947090769,-0.11519682639106577,-0.11519682639106577,0.3036969141460434,0.057711240112706653,566.6666666666666,-1.7722984642910236,1456.0,0.14828393930135453,1966.0,0.2002240554027905,1978.0,0.20144617578164783,0.0,0.0,6112.0,0.6224666462979936,0.4167091014020436,504.0,12.126984126984127,5.0,140.0,,
6,crypto_fast_ema_long_only,2025-12-06 00:01:00+00:00,2025-12-20 00:01:00+00:00,2025-12-20 00:01:00+00:00,2025-12-27 00:01:00+00:00,"short=5,long=20",-12.48652895137611,-12.48652895137611,-3.3532128458862354,-3.3532128458862354,0.268546435838495,0.268546435838495,-0.0781005233549531,-0.0781005233549531,0.3110750835950958,0.051406761914412125,507.33333333333326,-1.24103924690728,1352.0,0.13699462964839396,2309.0,0.23396494072347757,2308.0,0.23386361333468436,0.0,0.0,6232.0,0.631472286959165,0.3911237207417165,578.0,10.782006920415226,3.0,136.0,,
1,crypto_regime_trend_tuned,2025-11-01 00:01:00+00:00,2025-11-15 00:01:00+00:00,2025-11-15 00:01:00+00:00,2025-11-22 00:01:00+00:00,"short=20,long=120,slope=720,vol_w=1440,vol_q=0.70",-0.7037620372882885,-0.7037620372882885,-0.10562757870862,-0.10562757870862,0.1500899069742672,0.1500899069742672,-0.01664078860534357,-0.01664078860534357,0.07095365684231418,0.0024808970923886073,24.999999999999996,-0.8100525956215858,73.0,0.007244219509774734,200.0,0.019847176739108862,200.0,0.019847176739108862,0.0,0.0,1450.0,0.14389203135853926,0.07115212860970525,109.0,13.302752293577981,4.0,300.0,4.593281518280993,0.7072167217649198
2,crypto_regime_trend_tuned,2025-11-08 00:01:00+00:00,2025-11-22 00:01:00+00:00,2025-11-22 00:01:00+00:00,2025-11-29 00:01:00+00:00,"short=20,long=180,slope=240,vol_w=1440,vol_q=0.70",-0.9927347144534331,-0.9927347144534331,-0.22656652641413672,-0.22656652641413672,0.2282246436187907,0.2282246436187907,-0.03340921515104267,-0.03340921515104267,0.17613070332735606,0.004781829049611476,48.0,-0.9014597571605089,138.0,0.013747758517632994,578.0,0.05758119147240486,583.0,0.05807929866507272,0.0,0.0,3476.0,0.34628412034269773,0.20860729228930067,152.0,22.86842105263158,3.0,424.0,2.5795852189602573,0.5128204312572284
3,crypto_regime_trend_tuned,2025-11-15 00:01:00+00:00,2025-11-29 00:01:00+00:00,2025-11-29 00:01:00+00:00,2025-12-06 00:01:00+00:00,"short=30,long=120,slope=240,vol_w=1440,vol_q=0.70",15.25275120923698,15.25275120923698,3.1220236946716704,3.1220236946716704,0.20468593841489988,0.20468593841489988,-0.018244800158722208,-0.018244800158722208,0.135343618513324,0.0039070326587858145,39.0,15.203157573377734,116.0,0.011620917651773192,442.0,0.04427970346623923,438.0,0.043878982167902224,0.0,0.0,2722.0,0.272690843518333,0.1545448473919722,193.0,14.103626943005182,3.0,527.0,0.7037051656914644,0.1565501436363994
4,crypto_regime_trend_tuned,2025-11-22 00:01:00+00:00,2025-12-06 00:01:00+00:00,2025-12-06 00:01:00+00:00,2025-12-13 00:01:00+00:00,"short=20,long=120,slope=240,vol_w=1440,vol_q=0.60",7.384895161219528,7.384895161219528,1.1572267386622923,1.1572267386622923,0.15670185065581757,0.15670185065581757,-0.019945821921678708,-0.019945821921678708,0.13296867230233714,0.004906348417039615,49.33333333333333,4.487502644564262,141.0,0.014022874191944307,448.0,0.04455494778717056,445.0,0.044256588761810045,0.0,0.0,2702.0,0.2687220288413725,0.11370793966517487,271.0,9.970479704797048,4.0,223.0,8.480548741904885,1.7714848197926114
5,crypto_regime_trend_tuned,2025-11-29 00:01:00+00:00,2025-12-13 00:01:00+00:00,2025-12-13 00:01:00+00:00,2025-12-20 00:01:00+00:00,"short=30,long=120,slope=720,vol_w=1440,vol_q=0.80",0.5547961694809952,0.5547961694809952,0.10497609148016543,0.10497609148016543,0.1892156025128458,0.1892156025128458,-0.030749594426960125,-0.030749594426960125,0.15123739688359303,0.004175577961095835,41.0,0.4783198956100087,122.0,0.012424890518382727,489.0,0.049801405438435684,495.0,0.05041246562786435,0.0,0.0,2965.0,0.3019655769426622,0.14125674712292494,203.0,14.605911330049262,3.0,248.0,14.497214985148775,3.1563740478840536
6,crypto_regime_trend_tuned,2025-12-06 00:01:00+00:00,2025-12-20 00:01:00+00:00,2025-12-20 00:01:00+00:00,2025-12-27 00:01:00+00:00,"short=20,long=120,slope=120,vol_w=1440,vol_q=0.80",-11.513578708335869,-11.513578708335869,-1.7419905809979488,-1.7419905809979488,0.15129879467769144,0.15129879467769144,-0.04313093850136929,-0.04313093850136929,0.15280170230013174,0.004661059884486777,46.0,-7.110592053747582,135.0,0.013679197487080758,685.0,0.06940926132333569,697.0,0.07062518998885399,0.0,0.0,3031.0,0.3071233154321613,0.14787043604552977,348.0,8.709770114942529,2.0,212.0,8.587584487637383,1.9540591227382673
